ID,Turn,Speaker,Sentence,Tag,StudentTag,Transcript
72,33,T,600 times 40,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
73,34,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
74,35,S,nan,NA,1,TalkBack.Year1.Benson.Fall.121019.xlsx
75,36,S,nan,NA,1,TalkBack.Year1.Benson.Fall.121019.xlsx
76,37,S,nan,NA,1,TalkBack.Year1.Benson.Fall.121019.xlsx
77,38,T,I heard that 24000,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
78,38,T,900 times 9,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
79,39,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
80,40,S,nan,NA,1,TalkBack.Year1.Benson.Fall.121019.xlsx
81,41,T,Oh I hear 8100,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
82,41,T,I hear 81 000 Whos correct,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
83,42,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
84,43,T,Why,6,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
85,43,T,Why is it not 81000,6,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
86,44,S,Because there is only 2 zeros,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
87,45,T,Two zeros,3,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
88,45,T,So if I write product for my basic fact David how many zeros should I add to the end of that,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
89,46,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
90,47,S,nan,NA,1,TalkBack.Year1.Benson.Fall.121019.xlsx
91,48,T,Do you revise your thinking,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
92,48,T,Yes,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
93,49,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
94,50,T,It was following a pattern and then it messed you up didnt it,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
95,51,S,Yes,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
96,52,T,All right,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
97,52,T,You may erase yes,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
98,52,T,Erase your whiteboard,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
99,52,T,Hi,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
100,52,T,On your math journal on the top two problems Thank you,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
101,53,T,Whats different from the problem that were looking at compared to what weve been doing,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
102,53,T,Jesse whats different about this problem,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
103,53,T,Its multiplication,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
104,53,T,Weve been working on multiplication all unit long so whats different about this,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
105,54,S,Were doing a twodigit number times a twodigit number,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
106,55,T,Were doing a twodigit number times a twodigit number,3,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
107,55,T,What have we been doing,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
121,63,T,Its thinking,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
122,64,S,Think think think,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
123,65,T,Its really thinking and thinking and thinking,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
124,65,T,Well have to use the book,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
125,66,S,Okay,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
126,67,T,All right,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
127,67,T,Here is the correct page so when I ask us whats different about this problem it makes more sense now,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
128,67,T,Were doing twodigit numbers times twodigit numbers whereas before we were doing twodigit numbers times a onedigit number,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
129,67,T,All right someone who has theirs drawn and feels pretty confident about their work the way they worked that problem with a partition rectangle raise your hand if you feel pretty confident and you wanted to come share,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
130,67,T,Carson you want to bring your book up here,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
131,67,T,You lay your book right on top of mine and we should be able to see it really well,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
132,67,T,Can you talk us through what you did,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
133,68,S,I Jesse the  three up there and then multiply 3 times 2 equals 6,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
134,68,S,Then add 2 zeros and multiply 4 times 2 equals 12 8,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
135,69,T,Oh look at that revision right there good job lady,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
136,69,T,It helps to talk yourself through it doesnt it,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
137,69,T,So your answer will change a little bit wont it,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
138,69,T,Im glad you saw that and we didnt have to correct you,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
139,70,S,4 times 2 equals 8,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
140,70,S,600 so I need to multiply 600 plus 80 equals 680,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
141,71,T,Any disagreements with how Carson set up her partition rectangle,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
142,71,T,Jesse,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
143,72,S,Well Im not in disagreement but,NA,1,TalkBack.Year1.Benson.Fall.121019.xlsx
144,73,T,She just talked you through,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
145,73,T,What did you do differently,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
146,74,S,Well I think she got 600 for 20 times 30 but I didnt get that,NA,1,TalkBack.Year1.Benson.Fall.121019.xlsx
147,75,T,Did you forget to add 2 zeros,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
148,76,S,Yes,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
149,77,T,Do you see where your revision would happen,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
150,77,T,Okay,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
151,77,T,Anyone else have a different response,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
152,77,T,Anyone do it differently as far as the partition rectangle goes,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
153,77,T,Everyone on the count of three were going to give Carson a big excellent,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
159,79,T,Anyone feel pretty confident about how they did it and would be willing to share,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
160,79,T,These hands went Matt feeling confident,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
161,79,T,Put your book right on top of mine and well be able to see what youre doing,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
162,80,S,I did 2 times 3 and added the zeros so I got 600,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
163,80,S,I got 600 because of the 2 zeros,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
164,80,S,Then I did 2 times 4 and then I added a zero and got 80,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
165,80,S,Then put plus 80,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
166,80,S,606,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
167,80,S,088,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
168,80,S,000,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
169,81,T,Anyone do it differently,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
170,81,T,Dakota do you have a different answer or did you just do the process differently,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
171,82,S,I did the process differently,NA,1,TalkBack.Year1.Benson.Fall.121019.xlsx
172,83,T,Okay thank you,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
173,83,T,Lets give Matt a yeehaw,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
174,84,T,Yeehaw,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
175,85,T,Thank you Matt for being brave,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
176,85,T,All right Dakota go show us what you did differently,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
177,85,T,It takes a lot of courage to go up there,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
178,86,S,I wrote down 30 plus 20times 20,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
179,87,T,Times 20 thank you,3,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
180,88,S,then I put 30 times 20 equals 600,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
181,88,S,Then I added 4 times 20 equals 80 and then I got 680,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
182,89,T,So you did it right underneath the way that they kind of modeled for us,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
183,90,S,Yes,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
184,91,T,Everyone understand and agree,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
185,91,T,Any disagreements on how Matt or Dakota solved their problem,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
186,92,S,No,NA,1,TalkBack.Year1.Benson.Fall.121019.xlsx
192,95,T,Take out your whiteboard,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
193,96,T,Please show me a partition rectangle for the problem 30 times 87 on your whiteboard,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
194,96,T,A partition rectangle of 30 and 87,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
195,97,T,All right what I want you to do is look at your face partner,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
196,97,T,Carson come,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
197,97,T,You guys be just a group of three,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
198,97,T,Actually Dallas will you go be Carsons face partner a little bit,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
199,97,T,face partner on the table and one of yours is Lisa,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
200,97,T,You be partners with Megan,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
201,97,T,Please go quick or Carson you can go there,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
202,97,T,It might be easier if you can go up there,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
203,97,T,I want you to take your whiteboard and swap with your face partner,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
204,97,T,I want you to analyze all these little problems,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
205,97,T,If you disagree I want you to talk about what you didnt do or if you have questions about what they did,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
206,98,T,Can you listen to directions first so you know what you need to do,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
207,98,T,Thank you,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
208,98,T,Analyze what your partner did,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
209,98,T,See if you can follow the steps that they took,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
210,98,T,Make sure you agree with them,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
211,98,T,If you disagree or youre confused on what steps they took I want you to ask them about it,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
212,98,T,Why did you write 240,6,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
213,98,T,Why did you write 180,6,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
214,98,T,Why did you add these numbers together,6,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
215,98,T,I dont understand how you can put your rectangle,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
216,98,T,Those are the kinds of questions I want you to be asking each other,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
217,98,T,If you totally agree I want you to describe what your partner did,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
218,98,T,I see that you split your rectangle into blah blah blah because Talk through your problems,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
219,98,T,Make sure you give your partner  that,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
220,98,T,Thank you for  to explain,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
221,98,T,I would like Jesse and Faith to come and explain how they did their problem,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
222,98,T,I need you to come up and you can just show on your whiteboard if you want,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
223,98,T,You can write on my whiteboard if you want,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
224,98,T,Is that marker not working,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
225,99,S,Three times seven that equals 21,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
226,99,S,Then I added a zero because theres a zero to three and I added three times eight equals 24,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
227,99,S,Then I added two zeros,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
228,100,T,Did you really,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
229,101,S,Yes,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
230,102,T,All right where,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
231,102,T,How,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
232,104,T,Keep that,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
233,104,T,What did you notice that Faith did while she was reworking her problem,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
234,104,T,Because this is really what she had on her original whiteboard and Richard had on his original whiteboard,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
235,104,T,What did she do as she was working through the second time Jocelyn,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
236,105,S,When she did 30 times 80 she forgot to add another zero,NA,1,TalkBack.Year1.Benson.Fall.121019.xlsx
237,106,T,But as she was working it did she actually do it right the first time,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
238,107,S,Yes,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
239,108,T,She did,4,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
240,108,T,Thats why I said Really you did,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
251,112,T,That was really cool to watch you,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
252,112,T,You had it and then I asked you and you were like Oh wait wait,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
253,112,T,No,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
254,112,T,Joel thank you,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
255,113,S,Me and David did the same thing just,NA,1,TalkBack.Year1.Benson.Fall.121019.xlsx
256,114,T,Then when I walked by it was like,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
257,115,S,Can we show what we did,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
258,116,T,Yes you can use your whiteboard,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
259,116,T,Thank you guys lets give them a roller coaster,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
260,117,T,there you go,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
261,118,S,So David,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
262,119,S,Before Joel corrected me I wrote 240 right here because I thought 30 times 80 was 240 and then Joel told me that I had to add two extra zeros and the I got 2610,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
263,120,T,2610 is very different than 500something isnt,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
264,121,S,Before we did that David,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
265,121,S,When we put the extra zero to 240 he thought it was going be 405  but then he realized that it needed this,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
266,122,T,Can I draw the columns for you,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
267,122,T,See thats the problem when you dont have your numbers in columns there you go,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
268,123,S,So we did zero zero zero,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
269,124,T,up for me a little bit there you go,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
270,125,S,426  we got 2610,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
271,126,T,Give it a high thumbs up if you got 2610,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
272,126,T,If you didnt get that if your high thumbs up isnt out do you realize what you needed to make it correct and accurate,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
276,128,T,Lets look at problem number two,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
277,128,T,With 34 on the bottom and 17 the side,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
278,128,T,This changes things a little bit because if we look at what we had before we had 20 and 34 it was easy to split our 34 into 30 plus 4,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
279,128,T,Whats different about our second number that were multiplying together,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
280,128,T,Clayton,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
281,129,S,Its twodigit numbers with no zeros,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
282,130,T,Yes its not just the multiple of 10 is it,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
283,130,T,17 isnt a multiple of 10 is it,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
284,131,S,No,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
285,132,T,Not a 10 20 30 40 easy number to multiply together so you might need to put that and create four boxes,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
286,132,T,Im actually going to move my 17 to the other side to make it a little bit easier,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
287,132,T,The 3 in 34 is worth what,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
288,133,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
289,134,T,30 the 4 in 34 is worth what,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
290,135,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
291,136,T,Zach what is the 1 in 17 worth,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
292,137,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
293,138,T,on the top row,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
294,138,T,Jasper what is the 7 is 17 worth,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
295,139,S,Seven,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
296,140,T,Seven,3,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
297,140,T,I just have more multiplication problems to do now,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
298,140,T,Im going to kind of like what you guys were doing remember that weird table we had to use when we were doing weird math where you had to bring the two together,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
299,140,T,Right here in this box Im going to zoom this in as much as I can without making it too blurry,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
300,140,T,In this box right here what multiplication fact am I going to do,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
301,141,S,30 times 10,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
302,142,T,What is 30 times 10,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
303,143,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
304,144,T,Not plus,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
305,144,T,Chandler,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
306,145,S,It is 130 oh no,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
307,146,T,30 times 10,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
308,147,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
309,148,T,300 sir youre correct,4,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
310,148,T,In the box right below it what multiplication problem am I going to solve,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
316,152,T,I have more multiplication problems to solve,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
317,152,T,What is 4 times 10,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
318,153,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
319,154,T,Joel,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
320,155,S,4 times 10 is 40,NA,4,TalkBack.Year1.Benson.Fall.121019.xlsx
321,156,T,40 and then whats the multiplication problem for this last box,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
322,156,T,Josh,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
323,157,S,7 times 4,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
324,158,T,7 times 4 which is,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
325,159,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
326,160,T,Just 28 because there are no extra zeros just 28,4,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
327,160,T,Now Im going to add up all these products small products that I got in the middle of my boxes Im going to add all those together,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
328,160,T,I have to do 3002104028,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
329,160,T,Is this going to be really important for you to line up your places properly,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
330,161,S,Yes,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
331,162,T,Yes make sure all your ones are lined up all your tens are lined up all your 100 are lined up,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
332,162,T,Im going to let you solve that real quick,0,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
333,162,T,Thumbs up when you have the,1,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
334,163,T,Brant what did you get,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
335,164,S,nan,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
336,165,T,578 anyone get something different,2,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
337,165,T,Joel what did you get,5,NA,TalkBack.Year1.Benson.Fall.121019.xlsx
338,166,S,I thought 378,NA,3,TalkBack.Year1.Benson.Fall.121019.xlsx
339,168,S,Oh I see that,NA,0,TalkBack.Year1.Benson.Fall.121019.xlsx
