ID,Transcript,Turn,Speaker,Sentence,TalkMove_truth
25,TalkBack.Year1.Benson.Fall.121019.xlsx,9,T,You said what,Keeping Everyone Together
26,TalkBack.Year1.Benson.Fall.121019.xlsx,10,T,Yes but youre  Its just picking out different areas,
27,TalkBack.Year1.Benson.Fall.121019.xlsx,10,T,You have about another minute and a half,
29,TalkBack.Year1.Benson.Fall.121019.xlsx,12,T,30 more seconds,
30,TalkBack.Year1.Benson.Fall.121019.xlsx,12,T,Both of those different problems,
31,TalkBack.Year1.Benson.Fall.121019.xlsx,12,T,Show me on your fingers if you need more time,
32,TalkBack.Year1.Benson.Fall.121019.xlsx,12,T,How many minutes do you need,
33,TalkBack.Year1.Benson.Fall.121019.xlsx,12,T,Five is not going to happen,
34,TalkBack.Year1.Benson.Fall.121019.xlsx,12,T,Two and three so Ill give about two and a half more,
35,TalkBack.Year1.Benson.Fall.121019.xlsx,12,T,Hustle up,
36,TalkBack.Year1.Benson.Fall.121019.xlsx,13,T,Okay,
37,TalkBack.Year1.Benson.Fall.121019.xlsx,13,T,Times up,
38,TalkBack.Year1.Benson.Fall.121019.xlsx,13,T,Lets see what you got two,
39,TalkBack.Year1.Benson.Fall.121019.xlsx,13,T,All right who did pink problems,Keeping Everyone Together
40,TalkBack.Year1.Benson.Fall.121019.xlsx,13,T,Okay so,
41,TalkBack.Year1.Benson.Fall.121019.xlsx,13,T,4 times 50,Pressing for Accuracy
43,TalkBack.Year1.Benson.Fall.121019.xlsx,15,T,30 times 7,Pressing for Accuracy
45,TalkBack.Year1.Benson.Fall.121019.xlsx,17,T,70 times 8,Pressing for Accuracy
48,TalkBack.Year1.Benson.Fall.121019.xlsx,20,T,I hear you thinking,
49,TalkBack.Year1.Benson.Fall.121019.xlsx,20,T,Basic facts with what,Pressing for Accuracy
50,TalkBack.Year1.Benson.Fall.121019.xlsx,21,T,Yes,
51,TalkBack.Year1.Benson.Fall.121019.xlsx,21,T,I heard it,
52,TalkBack.Year1.Benson.Fall.121019.xlsx,21,T,I heard you say 56 and  thinking through,
53,TalkBack.Year1.Benson.Fall.121019.xlsx,21,T,20 times 40,Pressing for Accuracy
55,TalkBack.Year1.Benson.Fall.121019.xlsx,23,T,Why Clayton,Pressing for Reasoning
56,TalkBack.Year1.Benson.Fall.121019.xlsx,23,T,Why not 80,Pressing for Reasoning
58,TalkBack.Year1.Benson.Fall.121019.xlsx,25,T,Okay,
59,TalkBack.Year1.Benson.Fall.121019.xlsx,25,T,Basic fact in there,
60,TalkBack.Year1.Benson.Fall.121019.xlsx,25,T,Two extra zeros added in there,Revoicing
61,TalkBack.Year1.Benson.Fall.121019.xlsx,25,T,70 times 40,Pressing for Accuracy
63,TalkBack.Year1.Benson.Fall.121019.xlsx,27,T,9 times 30,Pressing for Accuracy
65,TalkBack.Year1.Benson.Fall.121019.xlsx,29,T,60 times 800,Pressing for Accuracy
67,TalkBack.Year1.Benson.Fall.121019.xlsx,31,T,nan,Restating
68,TalkBack.Year1.Benson.Fall.121019.xlsx,31,T,Why 48000 and not 4800,Pressing for Reasoning
69,TalkBack.Year1.Benson.Fall.121019.xlsx,31,T,Matt why not,Pressing for Reasoning
71,TalkBack.Year1.Benson.Fall.121019.xlsx,33,T,4 extra zeros to your basic fact,Restating
72,TalkBack.Year1.Benson.Fall.121019.xlsx,33,T,600 times 40,Pressing for Accuracy
77,TalkBack.Year1.Benson.Fall.121019.xlsx,38,T,I heard that 24000,
78,TalkBack.Year1.Benson.Fall.121019.xlsx,38,T,900 times 9,Pressing for Accuracy
81,TalkBack.Year1.Benson.Fall.121019.xlsx,41,T,Oh I hear 8100,
82,TalkBack.Year1.Benson.Fall.121019.xlsx,41,T,I hear 81 000 Whos correct,Pressing for Accuracy
84,TalkBack.Year1.Benson.Fall.121019.xlsx,43,T,Why,Pressing for Reasoning
85,TalkBack.Year1.Benson.Fall.121019.xlsx,43,T,Why is it not 81000,Pressing for Reasoning
87,TalkBack.Year1.Benson.Fall.121019.xlsx,45,T,Two zeros,Restating
88,TalkBack.Year1.Benson.Fall.121019.xlsx,45,T,So if I write product for my basic fact David how many zeros should I add to the end of that,Pressing for Accuracy
91,TalkBack.Year1.Benson.Fall.121019.xlsx,48,T,Do you revise your thinking,Keeping Everyone Together
92,TalkBack.Year1.Benson.Fall.121019.xlsx,48,T,Yes,
94,TalkBack.Year1.Benson.Fall.121019.xlsx,50,T,It was following a pattern and then it messed you up didnt it,Keeping Everyone Together
96,TalkBack.Year1.Benson.Fall.121019.xlsx,52,T,All right,
97,TalkBack.Year1.Benson.Fall.121019.xlsx,52,T,You may erase yes,
98,TalkBack.Year1.Benson.Fall.121019.xlsx,52,T,Erase your whiteboard,
99,TalkBack.Year1.Benson.Fall.121019.xlsx,52,T,Hi,
100,TalkBack.Year1.Benson.Fall.121019.xlsx,52,T,On your math journal on the top two problems Thank you,
101,TalkBack.Year1.Benson.Fall.121019.xlsx,53,T,Whats different from the problem that were looking at compared to what weve been doing,Pressing for Accuracy
102,TalkBack.Year1.Benson.Fall.121019.xlsx,53,T,Jesse whats different about this problem,Pressing for Accuracy
103,TalkBack.Year1.Benson.Fall.121019.xlsx,53,T,Its multiplication,
104,TalkBack.Year1.Benson.Fall.121019.xlsx,53,T,Weve been working on multiplication all unit long so whats different about this,Pressing for Accuracy
106,TalkBack.Year1.Benson.Fall.121019.xlsx,55,T,Were doing a twodigit number times a twodigit number,Restating
107,TalkBack.Year1.Benson.Fall.121019.xlsx,55,T,What have we been doing,Pressing for Accuracy
108,TalkBack.Year1.Benson.Fall.121019.xlsx,56,T,A twodigit times a onedigit right,Keeping Everyone Together
109,TalkBack.Year1.Benson.Fall.121019.xlsx,56,T,So its a little bit different,
110,TalkBack.Year1.Benson.Fall.121019.xlsx,56,T,Let me make sure I have the right I dont think I have the right page,
111,TalkBack.Year1.Benson.Fall.121019.xlsx,57,T,Thats not the right one,
112,TalkBack.Year1.Benson.Fall.121019.xlsx,58,T,Yes thats not the right one,
113,TalkBack.Year1.Benson.Fall.121019.xlsx,59,T,I was going to say This is not the right page,
114,TalkBack.Year1.Benson.Fall.121019.xlsx,59,T,Thats so interesting that it has,
116,TalkBack.Year1.Benson.Fall.121019.xlsx,61,T,Thank you,
117,TalkBack.Year1.Benson.Fall.121019.xlsx,61,T,Theyre having to look back at that page and I think I copied the wrong one onto the screen,
118,TalkBack.Year1.Benson.Fall.121019.xlsx,61,T,Sorry about that,
119,TalkBack.Year1.Benson.Fall.121019.xlsx,61,T,Lets get the right page up,
121,TalkBack.Year1.Benson.Fall.121019.xlsx,63,T,Its thinking,
123,TalkBack.Year1.Benson.Fall.121019.xlsx,65,T,Its really thinking and thinking and thinking,
124,TalkBack.Year1.Benson.Fall.121019.xlsx,65,T,Well have to use the book,
126,TalkBack.Year1.Benson.Fall.121019.xlsx,67,T,All right,
127,TalkBack.Year1.Benson.Fall.121019.xlsx,67,T,Here is the correct page so when I ask us whats different about this problem it makes more sense now,
128,TalkBack.Year1.Benson.Fall.121019.xlsx,67,T,Were doing twodigit numbers times twodigit numbers whereas before we were doing twodigit numbers times a onedigit number,
129,TalkBack.Year1.Benson.Fall.121019.xlsx,67,T,All right someone who has theirs drawn and feels pretty confident about their work the way they worked that problem with a partition rectangle raise your hand if you feel pretty confident and you wanted to come share,
130,TalkBack.Year1.Benson.Fall.121019.xlsx,67,T,Carson you want to bring your book up here,Keeping Everyone Together
131,TalkBack.Year1.Benson.Fall.121019.xlsx,67,T,You lay your book right on top of mine and we should be able to see it really well,
132,TalkBack.Year1.Benson.Fall.121019.xlsx,67,T,Can you talk us through what you did,Pressing for Accuracy
135,TalkBack.Year1.Benson.Fall.121019.xlsx,69,T,Oh look at that revision right there good job lady,
136,TalkBack.Year1.Benson.Fall.121019.xlsx,69,T,It helps to talk yourself through it doesnt it,Keeping Everyone Together
137,TalkBack.Year1.Benson.Fall.121019.xlsx,69,T,So your answer will change a little bit wont it,Keeping Everyone Together
138,TalkBack.Year1.Benson.Fall.121019.xlsx,69,T,Im glad you saw that and we didnt have to correct you,
141,TalkBack.Year1.Benson.Fall.121019.xlsx,71,T,Any disagreements with how Carson set up her partition rectangle,Getting Students to Relate to Another's Ideas
142,TalkBack.Year1.Benson.Fall.121019.xlsx,71,T,Jesse,Keeping Everyone Together
144,TalkBack.Year1.Benson.Fall.121019.xlsx,73,T,She just talked you through,
145,TalkBack.Year1.Benson.Fall.121019.xlsx,73,T,What did you do differently,Getting Students to Relate to Another's Ideas
147,TalkBack.Year1.Benson.Fall.121019.xlsx,75,T,Did you forget to add 2 zeros,Keeping Everyone Together
149,TalkBack.Year1.Benson.Fall.121019.xlsx,77,T,Do you see where your revision would happen,Keeping Everyone Together
150,TalkBack.Year1.Benson.Fall.121019.xlsx,77,T,Okay,
151,TalkBack.Year1.Benson.Fall.121019.xlsx,77,T,Anyone else have a different response,Getting Students to Relate to Another's Ideas
152,TalkBack.Year1.Benson.Fall.121019.xlsx,77,T,Anyone do it differently as far as the partition rectangle goes,Getting Students to Relate to Another's Ideas
153,TalkBack.Year1.Benson.Fall.121019.xlsx,77,T,Everyone on the count of three were going to give Carson a big excellent,
154,TalkBack.Year1.Benson.Fall.121019.xlsx,77,T,One two three,
156,TalkBack.Year1.Benson.Fall.121019.xlsx,79,T,Thank you,
157,TalkBack.Year1.Benson.Fall.121019.xlsx,79,T,My book is still up there so you wont see the partition rectangle anymore,
158,TalkBack.Year1.Benson.Fall.121019.xlsx,79,T,Who got all the way to doing it partial product way,Keeping Everyone Together
159,TalkBack.Year1.Benson.Fall.121019.xlsx,79,T,Anyone feel pretty confident about how they did it and would be willing to share,Pressing for Accuracy
160,TalkBack.Year1.Benson.Fall.121019.xlsx,79,T,These hands went Matt feeling confident,Keeping Everyone Together
161,TalkBack.Year1.Benson.Fall.121019.xlsx,79,T,Put your book right on top of mine and well be able to see what youre doing,
169,TalkBack.Year1.Benson.Fall.121019.xlsx,81,T,Anyone do it differently,Getting Students to Relate to Another's Ideas
170,TalkBack.Year1.Benson.Fall.121019.xlsx,81,T,Dakota do you have a different answer or did you just do the process differently,Getting Students to Relate to Another's Ideas
172,TalkBack.Year1.Benson.Fall.121019.xlsx,83,T,Okay thank you,
173,TalkBack.Year1.Benson.Fall.121019.xlsx,83,T,Lets give Matt a yeehaw,
174,TalkBack.Year1.Benson.Fall.121019.xlsx,84,T,Yeehaw,
175,TalkBack.Year1.Benson.Fall.121019.xlsx,85,T,Thank you Matt for being brave,
176,TalkBack.Year1.Benson.Fall.121019.xlsx,85,T,All right Dakota go show us what you did differently,
177,TalkBack.Year1.Benson.Fall.121019.xlsx,85,T,It takes a lot of courage to go up there,
179,TalkBack.Year1.Benson.Fall.121019.xlsx,87,T,Times 20 thank you,Restating
182,TalkBack.Year1.Benson.Fall.121019.xlsx,89,T,So you did it right underneath the way that they kind of modeled for us,Keeping Everyone Together
184,TalkBack.Year1.Benson.Fall.121019.xlsx,91,T,Everyone understand and agree,Getting Students to Relate to Another's Ideas
185,TalkBack.Year1.Benson.Fall.121019.xlsx,91,T,Any disagreements on how Matt or Dakota solved their problem,Getting Students to Relate to Another's Ideas
187,TalkBack.Year1.Benson.Fall.121019.xlsx,93,T,Lets give her a shhshhshhshhshh your great,
188,TalkBack.Year1.Benson.Fall.121019.xlsx,94,T,Shhshhshhshhshh your great,
189,TalkBack.Year1.Benson.Fall.121019.xlsx,95,T,Thank you for sharing,
190,TalkBack.Year1.Benson.Fall.121019.xlsx,95,T,All right my friends,
191,TalkBack.Year1.Benson.Fall.121019.xlsx,95,T,Were going to do a couple of practice questions,
192,TalkBack.Year1.Benson.Fall.121019.xlsx,95,T,Take out your whiteboard,
193,TalkBack.Year1.Benson.Fall.121019.xlsx,96,T,Please show me a partition rectangle for the problem 30 times 87 on your whiteboard,
194,TalkBack.Year1.Benson.Fall.121019.xlsx,96,T,A partition rectangle of 30 and 87,
195,TalkBack.Year1.Benson.Fall.121019.xlsx,97,T,All right what I want you to do is look at your face partner,
196,TalkBack.Year1.Benson.Fall.121019.xlsx,97,T,Carson come,
197,TalkBack.Year1.Benson.Fall.121019.xlsx,97,T,You guys be just a group of three,
198,TalkBack.Year1.Benson.Fall.121019.xlsx,97,T,Actually Dallas will you go be Carsons face partner a little bit,
199,TalkBack.Year1.Benson.Fall.121019.xlsx,97,T,face partner on the table and one of yours is Lisa,
200,TalkBack.Year1.Benson.Fall.121019.xlsx,97,T,You be partners with Megan,
201,TalkBack.Year1.Benson.Fall.121019.xlsx,97,T,Please go quick or Carson you can go there,
202,TalkBack.Year1.Benson.Fall.121019.xlsx,97,T,It might be easier if you can go up there,
203,TalkBack.Year1.Benson.Fall.121019.xlsx,97,T,I want you to take your whiteboard and swap with your face partner,
204,TalkBack.Year1.Benson.Fall.121019.xlsx,97,T,I want you to analyze all these little problems,
205,TalkBack.Year1.Benson.Fall.121019.xlsx,97,T,If you disagree I want you to talk about what you didnt do or if you have questions about what they did,
206,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,Can you listen to directions first so you know what you need to do,
207,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,Thank you,
208,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,Analyze what your partner did,
209,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,See if you can follow the steps that they took,
210,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,Make sure you agree with them,
211,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,If you disagree or youre confused on what steps they took I want you to ask them about it,
212,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,Why did you write 240,Pressing for Reasoning
213,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,Why did you write 180,Pressing for Reasoning
214,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,Why did you add these numbers together,Pressing for Reasoning
215,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,I dont understand how you can put your rectangle,
216,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,Those are the kinds of questions I want you to be asking each other,
217,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,If you totally agree I want you to describe what your partner did,
218,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,I see that you split your rectangle into blah blah blah because Talk through your problems,
219,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,Make sure you give your partner  that,
220,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,Thank you for  to explain,
221,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,I would like Jesse and Faith to come and explain how they did their problem,Pressing for Accuracy
222,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,I need you to come up and you can just show on your whiteboard if you want,
223,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,You can write on my whiteboard if you want,
224,TalkBack.Year1.Benson.Fall.121019.xlsx,98,T,Is that marker not working,
228,TalkBack.Year1.Benson.Fall.121019.xlsx,100,T,Did you really,Keeping Everyone Together
230,TalkBack.Year1.Benson.Fall.121019.xlsx,102,T,All right where,Pressing for Accuracy
231,TalkBack.Year1.Benson.Fall.121019.xlsx,102,T,How,Pressing for Accuracy
232,TalkBack.Year1.Benson.Fall.121019.xlsx,104,T,Keep that,
233,TalkBack.Year1.Benson.Fall.121019.xlsx,104,T,What did you notice that Faith did while she was reworking her problem,Getting Students to Relate to Another's Ideas
234,TalkBack.Year1.Benson.Fall.121019.xlsx,104,T,Because this is really what she had on her original whiteboard and Richard had on his original whiteboard,
235,TalkBack.Year1.Benson.Fall.121019.xlsx,104,T,What did she do as she was working through the second time Jocelyn,Getting Students to Relate to Another's Ideas
237,TalkBack.Year1.Benson.Fall.121019.xlsx,106,T,But as she was working it did she actually do it right the first time,Getting Students to Relate to Another's Ideas
239,TalkBack.Year1.Benson.Fall.121019.xlsx,108,T,She did,Revoicing
240,TalkBack.Year1.Benson.Fall.121019.xlsx,108,T,Thats why I said Really you did,
241,TalkBack.Year1.Benson.Fall.121019.xlsx,108,T,because when you first worked it you just added one zero but when you worked it the second time you actually did it right,
242,TalkBack.Year1.Benson.Fall.121019.xlsx,108,T,How many extra zeros are in the  problem,Pressing for Accuracy
244,TalkBack.Year1.Benson.Fall.121019.xlsx,110,T,When you started working it the second time you realized that actually should have two zeros because eight times three is 24 but with an extra 10 here and another extra 10 here theres only going to be two zeros,Revoicing
245,TalkBack.Year1.Benson.Fall.121019.xlsx,110,T,Every single person except for You missed that the first time right Pat,Keeping Everyone Together
246,TalkBack.Year1.Benson.Fall.121019.xlsx,110,T,Most of you are being really careful to make sure you add the zeros on,
247,TalkBack.Year1.Benson.Fall.121019.xlsx,110,T,It makes a huge difference,
248,TalkBack.Year1.Benson.Fall.121019.xlsx,110,T,2400 is not very close to 240 is it,Keeping Everyone Together
250,TalkBack.Year1.Benson.Fall.121019.xlsx,112,T,Makes a huge difference on the total amount of your product when you finally add everything together,
251,TalkBack.Year1.Benson.Fall.121019.xlsx,112,T,That was really cool to watch you,
252,TalkBack.Year1.Benson.Fall.121019.xlsx,112,T,You had it and then I asked you and you were like Oh wait wait,
253,TalkBack.Year1.Benson.Fall.121019.xlsx,112,T,No,
254,TalkBack.Year1.Benson.Fall.121019.xlsx,112,T,Joel thank you,
256,TalkBack.Year1.Benson.Fall.121019.xlsx,114,T,Then when I walked by it was like,
258,TalkBack.Year1.Benson.Fall.121019.xlsx,116,T,Yes you can use your whiteboard,
259,TalkBack.Year1.Benson.Fall.121019.xlsx,116,T,Thank you guys lets give them a roller coaster,
260,TalkBack.Year1.Benson.Fall.121019.xlsx,117,T,there you go,
263,TalkBack.Year1.Benson.Fall.121019.xlsx,120,T,2610 is very different than 500something isnt,Keeping Everyone Together
266,TalkBack.Year1.Benson.Fall.121019.xlsx,122,T,Can I draw the columns for you,
267,TalkBack.Year1.Benson.Fall.121019.xlsx,122,T,See thats the problem when you dont have your numbers in columns there you go,
269,TalkBack.Year1.Benson.Fall.121019.xlsx,124,T,up for me a little bit there you go,
271,TalkBack.Year1.Benson.Fall.121019.xlsx,126,T,Give it a high thumbs up if you got 2610,Getting Students to Relate to Another's Ideas
272,TalkBack.Year1.Benson.Fall.121019.xlsx,126,T,If you didnt get that if your high thumbs up isnt out do you realize what you needed to make it correct and accurate,Keeping Everyone Together
273,TalkBack.Year1.Benson.Fall.121019.xlsx,126,T,Thank you guys for sharing lets give them,
274,TalkBack.Year1.Benson.Fall.121019.xlsx,127,T,Thank you so much,
275,TalkBack.Year1.Benson.Fall.121019.xlsx,127,T,All right lets look at your math journal page 130,
276,TalkBack.Year1.Benson.Fall.121019.xlsx,128,T,Lets look at problem number two,
277,TalkBack.Year1.Benson.Fall.121019.xlsx,128,T,With 34 on the bottom and 17 the side,
278,TalkBack.Year1.Benson.Fall.121019.xlsx,128,T,This changes things a little bit because if we look at what we had before we had 20 and 34 it was easy to split our 34 into 30 plus 4,
279,TalkBack.Year1.Benson.Fall.121019.xlsx,128,T,Whats different about our second number that were multiplying together,Pressing for Accuracy
280,TalkBack.Year1.Benson.Fall.121019.xlsx,128,T,Clayton,Keeping Everyone Together
282,TalkBack.Year1.Benson.Fall.121019.xlsx,130,T,Yes its not just the multiple of 10 is it,Keeping Everyone Together
283,TalkBack.Year1.Benson.Fall.121019.xlsx,130,T,17 isnt a multiple of 10 is it,Keeping Everyone Together
285,TalkBack.Year1.Benson.Fall.121019.xlsx,132,T,Not a 10 20 30 40 easy number to multiply together so you might need to put that and create four boxes,
286,TalkBack.Year1.Benson.Fall.121019.xlsx,132,T,Im actually going to move my 17 to the other side to make it a little bit easier,
287,TalkBack.Year1.Benson.Fall.121019.xlsx,132,T,The 3 in 34 is worth what,Pressing for Accuracy
289,TalkBack.Year1.Benson.Fall.121019.xlsx,134,T,30 the 4 in 34 is worth what,Pressing for Accuracy
291,TalkBack.Year1.Benson.Fall.121019.xlsx,136,T,Zach what is the 1 in 17 worth,Pressing for Accuracy
293,TalkBack.Year1.Benson.Fall.121019.xlsx,138,T,on the top row,
294,TalkBack.Year1.Benson.Fall.121019.xlsx,138,T,Jasper what is the 7 is 17 worth,Pressing for Accuracy
296,TalkBack.Year1.Benson.Fall.121019.xlsx,140,T,Seven,Restating
297,TalkBack.Year1.Benson.Fall.121019.xlsx,140,T,I just have more multiplication problems to do now,
298,TalkBack.Year1.Benson.Fall.121019.xlsx,140,T,Im going to kind of like what you guys were doing remember that weird table we had to use when we were doing weird math where you had to bring the two together,Keeping Everyone Together
299,TalkBack.Year1.Benson.Fall.121019.xlsx,140,T,Right here in this box Im going to zoom this in as much as I can without making it too blurry,
300,TalkBack.Year1.Benson.Fall.121019.xlsx,140,T,In this box right here what multiplication fact am I going to do,Pressing for Accuracy
302,TalkBack.Year1.Benson.Fall.121019.xlsx,142,T,What is 30 times 10,Pressing for Accuracy
304,TalkBack.Year1.Benson.Fall.121019.xlsx,144,T,Not plus,
305,TalkBack.Year1.Benson.Fall.121019.xlsx,144,T,Chandler,Keeping Everyone Together
307,TalkBack.Year1.Benson.Fall.121019.xlsx,146,T,30 times 10,Pressing for Accuracy
309,TalkBack.Year1.Benson.Fall.121019.xlsx,148,T,300 sir youre correct,Revoicing
310,TalkBack.Year1.Benson.Fall.121019.xlsx,148,T,In the box right below it what multiplication problem am I going to solve,Pressing for Accuracy
311,TalkBack.Year1.Benson.Fall.121019.xlsx,148,T,Joel,Keeping Everyone Together
313,TalkBack.Year1.Benson.Fall.121019.xlsx,150,T,What is 30 times 7,Pressing for Accuracy
314,TalkBack.Year1.Benson.Fall.121019.xlsx,150,T,David,Keeping Everyone Together
316,TalkBack.Year1.Benson.Fall.121019.xlsx,152,T,I have more multiplication problems to solve,
317,TalkBack.Year1.Benson.Fall.121019.xlsx,152,T,What is 4 times 10,Pressing for Accuracy
319,TalkBack.Year1.Benson.Fall.121019.xlsx,154,T,Joel,Keeping Everyone Together
321,TalkBack.Year1.Benson.Fall.121019.xlsx,156,T,40 and then whats the multiplication problem for this last box,Pressing for Accuracy
322,TalkBack.Year1.Benson.Fall.121019.xlsx,156,T,Josh,Keeping Everyone Together
324,TalkBack.Year1.Benson.Fall.121019.xlsx,158,T,7 times 4 which is,Pressing for Accuracy
326,TalkBack.Year1.Benson.Fall.121019.xlsx,160,T,Just 28 because there are no extra zeros just 28,Revoicing
327,TalkBack.Year1.Benson.Fall.121019.xlsx,160,T,Now Im going to add up all these products small products that I got in the middle of my boxes Im going to add all those together,
328,TalkBack.Year1.Benson.Fall.121019.xlsx,160,T,I have to do 3002104028,
329,TalkBack.Year1.Benson.Fall.121019.xlsx,160,T,Is this going to be really important for you to line up your places properly,Keeping Everyone Together
331,TalkBack.Year1.Benson.Fall.121019.xlsx,162,T,Yes make sure all your ones are lined up all your tens are lined up all your 100 are lined up,
332,TalkBack.Year1.Benson.Fall.121019.xlsx,162,T,Im going to let you solve that real quick,
333,TalkBack.Year1.Benson.Fall.121019.xlsx,162,T,Thumbs up when you have the,Keeping Everyone Together
334,TalkBack.Year1.Benson.Fall.121019.xlsx,163,T,Brant what did you get,Pressing for Accuracy
336,TalkBack.Year1.Benson.Fall.121019.xlsx,165,T,578 anyone get something different,Getting Students to Relate to Another's Ideas
337,TalkBack.Year1.Benson.Fall.121019.xlsx,165,T,Joel what did you get,Pressing for Accuracy
340,TalkBack.Year1.Benson.Fall.121019.xlsx,169,T,You see what you got,Keeping Everyone Together
341,TalkBack.Year1.Benson.Fall.121019.xlsx,169,T,Everyone else got 578,Keeping Everyone Together
343,TalkBack.Year1.Benson.Fall.121019.xlsx,171,T,Go to the next box over,
344,TalkBack.Year1.Benson.Fall.121019.xlsx,171,T,Were going to write this problem as 34 times 17,
345,TalkBack.Year1.Benson.Fall.121019.xlsx,171,T,I want you to get used to going Oh yes oh yes oh yes oh yes,
346,TalkBack.Year1.Benson.Fall.121019.xlsx,171,T,The reason why Im having you go here and here is because you have to multiply all the values times each other and it looks like this,
347,TalkBack.Year1.Benson.Fall.121019.xlsx,171,T,Ill show you what I mean,
348,TalkBack.Year1.Benson.Fall.121019.xlsx,171,T,What is the value of these three right here,Pressing for Accuracy
350,TalkBack.Year1.Benson.Fall.121019.xlsx,173,T,nan,Restating
351,TalkBack.Year1.Benson.Fall.121019.xlsx,173,T,I need to multiply that times the value of this digit right here which is,Pressing for Accuracy
353,TalkBack.Year1.Benson.Fall.121019.xlsx,175,T,10 Im done here,Revoicing
354,TalkBack.Year1.Benson.Fall.121019.xlsx,175,T,Now Im going to take this value of this digit which was what,Pressing for Accuracy
356,TalkBack.Year1.Benson.Fall.121019.xlsx,177,T,30 and I have to multiply it here whats the value of this digit,Pressing for Accuracy
358,TalkBack.Year1.Benson.Fall.121019.xlsx,179,T,Seven Im done with Uh uh I need to take the value of this digit what was that,Pressing for Accuracy
361,TalkBack.Year1.Benson.Fall.121019.xlsx,182,T,Its worth 10,Revoicing
362,TalkBack.Year1.Benson.Fall.121019.xlsx,182,T,I need to multiply here,
363,TalkBack.Year1.Benson.Fall.121019.xlsx,182,T,Whats this digit worth,Pressing for Accuracy
366,TalkBack.Year1.Benson.Fall.121019.xlsx,185,T,I need to do this last one,
367,TalkBack.Year1.Benson.Fall.121019.xlsx,185,T,The value of this times this is,Pressing for Accuracy
369,TalkBack.Year1.Benson.Fall.121019.xlsx,187,T,I can multiplytwodigitstimestwodigits,
370,TalkBack.Year1.Benson.Fall.121019.xlsx,187,T,Okay,
